gene	MB064	MB350	MB215	MB224	MB178	MB055	MB329	MB296	MB161	MB279	MB234	MB157	MB328	MB028	MB317	MB372	MB137	MB309	MB285	MB269	MB158	MB334	MB228	MB264	MB299	MB327	MB199	MB311	MB151	MB025	MB229	MB181	MB305	MB056	MB225	MB262	MB166	MB062	MB102	MB242	MB118	MB223	MB155	MB209	MB321	MB232	MB024	MB020	MB276	MB057	MB243	MB071	MB271	MB048	MB153	MB038	MB159	MB103	MB063	MB240	MB067	MB197	MB332	MB114	MB170	MB316	MB206	MB359	MB192	MB172	MB227	MB162	MB263	MB268	MB331	MB207	MB164	MB188	MB346	MB320	MB027	MB254	MB238	MB282	MB239	MB167	MB236	MB322	MB255	MB272	MB244	MB212
SAMD11	0	0	0	0	1.96003878521317	0	0	1.54402942701049	0	1.49713080548133	0	0.836019491133973	0	0	0.677355353845274	0	0.324995578159078	0	0	1.53373174366159	4.15899878117708	0	2.23692602617731	1.36207818802066	0	0.904810870596072	4.10404079955715	0	0.0369813797347898	0.0836833963773615	0.810873390338756	0	1.87959079374756	0	0	1.26294662225147	4.43426258057964	4.261070937481	0	7.0941915228997	1.30620115901932	1.95343605810019	5.73407731467325	3.43538251536749	4.37138368530074	3.98435272884994	5.48978025919019	6.61219560325013	0.412106712956369	2.11655871397696	0	3.66521634145164	4.54362944232332	4.20134622978632	4.52845631011208	3.46766633599924	4.47130236907393	2.22114984511045	1.04442300790645	4.60929575809615	2.64112438369153	0	0	0	2.99046568695279	0	0	0	1.68161860202601	0	0	0	0	0	0	0	3.05188849322794	0	5.54103582489059	0	1.29478083752072	2.88653655041638	0	0	0	0	0	0	0	0	0	0
MXRA8	2.12976369152238	2.51121661664102	1.55729076726089	0.914245813116283	2.54765880043949	0	0	1.1078369438169	0	2.86692617983925	0	1.46853868778818	1.93757207209082	3.27728277468462	3.85297717619699	0	0.633136129414476	1.28025488006558	0	0	2.86921681660359	1.23475178148198	3.42608203572691	0	2.21768890107086	0	0.674112731833513	0	0.282478795025012	4.49933350068372	1.40894478257945	1.50153528975585	4.20134622978632	0.473253670113449	2.33403375243463	0.732431532134101	0	0.0298411391422625	0	0.18530500552598	0	0	0	0	0	0	0.255018588380493	0.715482852341085	0	0	0	0	0.0216146387467023	3.18851275024441	0	0.704448253578423	0	0	0	0.581878833037955	0	0	0	0	0	0	3.52254481133261	0	0	3.99792777911312	1.72712712840387	0	0.20268446596514	2.11416007961608	0	0	0	0	0.0887742222770149	1.9890542926875	3.15054688162736	0	3.37762325704485	3.84098556203311	0	0	0	0.967800744280828	3.09135795684449	1.9567440006318	3.47761053721938	2.3696497360905
ANKRD65	3.56072987837268	4.17315087194234	4.26789188685163	3.50809298997377	3.01492672218444	2.92704885034447	2.6083148642196	2.68082276840561	1.6200254458634	3.62908745790602	2.89234143255569	2.4279159438967	3.44918816057647	4.26789188685163	4.0679401759581	1.48944800648918	0.433813904782824	1.29227222009189	5.32575635403268	1.72814301584344	3.47761053721938	2.62137725987953	0.197394851265284	0	2.12183684676716	2.53398792831099	6.61219560325013	1.12742167914333	0.573608325406326	1.3625803416894	0.597697792257514	2.49383102804004	2.77215604283061	2.78000476373823	2.18418564269963	2.32701524510703	0	2.30528319258828	0	6.03392639043841	0	0.851521488632908	0.702211240659965	0	0	0	0	0	2.71405830346096	0.860718640258794	0.277952739931858	0	0	0.371624393413791	0	0	0	0	0	0	0	0	0	0.987836250626032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0.200759497674206	0.0377870995066329	0	0	1.43967679262935	0.0987712118247817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338968621393844	0	0	0	0	0	0	0	0	0	1.1430955542603	0	0	0	0	0.0393741227366522	4.81376515940914	0.595972854761879	0	0	0	0	0	5.02915378329861	5.30966560491757	2.57637243277332	3.50809298997377	3.65928113621226	1.32363550424956	3.90835667360271	0	3.94536330773493	5.73407731467325	2.34531533276041	5.43319432287239	0.0502656706077705	4.04005199439353	0	0	3.95223843743796	2.85822804269575	0	2.18891633910629	0	0.0258239019406357	0	0	3.09486591569423	0	0	0	0.14919783590897	0	1.21499813295077	0	0.371476576876431	0	0	1.69758475229621	0	0.64396230041508	0	4.23992351081355	1.12866437369946	2.87453917678847	0	0	1.2648762548775	0	0	0	0
GABRD	2.07090021728051	4.31436768877876	2.45183379631788	1.18678541485567	4.10404079955715	1.60571489660238	1.59371327629241	1.39660759606845	0.801298081586974	3.49967950858882	1.93396826644915	4.63622295263693	0	4.22100604905676	0	0	2.50334508933592	0	2.94458150677337	0	0.0540986375886897	1.72293498129333	0	0	0	0	0.0856925593625497	0	0	0.187336228863278	1.964491721335	0.191553195915948	0	2.47189505121341	2.91605849171911	5.60413866863811	0.551897461769711	0	0	0	0	0	2.11543418093994	0	1.39778771405862	0	2.72877314363284	0.23913449092524	0.0609751634151771	0.74769432847327	0	0.028464075221402	2.39657744499415	0	3.95865510973962	0	0.263285458552441	0	0	0	0	0	0	0	0	0	0	3.0453771993999	1.43665797584309	0.757026407453822	0	0.213638472532122	0	0	0	1.72027073341438	0	0	1.55123003606783	0	0	0	4.07590828759142	0.744813407013167	4.15899878117708	0	0	5.52518051162232	0	1.2918079285063	0.902493189957787	0
PLCH2	0	0.116170861873606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0550588531627553	2.42438549687499	0	2.99332448904587	1.47305570795319	4.05462872137177	1.1607369692652	1.84419698921506	0	1.3103292051861	0.770612963582341	0	2.72630413456652	1.95343605810019	3.66521634145164	0.0965076138970853	2.50148726762053	1.63570907226734	0.724447853797469	2.84772475067105	0	3.29668335479709	3.08782527481263	0.203442923000109	0.0133497326508739	2.60370241999073	1.35412545963298	1.67326467564042	0.818403988879564	0.885666456383727	0	0	0.512336068393547	3.16163346640213	1.03337726020143	0.441236229838903	1.72203344316442	2.03845283952412	1.43200226280104	0.383660227806199	0.967189357320806	1.13888842556089	0	0	3.42271702273628	0	2.47189505121341	1.11303563450539	0	0	0	0	0	2.28075370189527	0	0	0	0	0	3.83463442456487	0	2.45978888739168	0	0	2.463799141743	0	2.59114882429124	0	3.12462027993056	2.45183379631788	0	1.51391277292327	0	0	0.674283262860584
MEGF6	1.67246486019865	4.275818009536	1.76367489814412	1.73316668331002	2.69036299067946	1.1753483618961	1.15088278723056	2.91605849171911	3.8105586022902	3.30808550178501	2.58048852016483	3.40151225514986	3.88244305973259	2.90159508047477	0	0.503341066626561	0	0	1.89318526187498	0	3.30063711687984	0	0	0	0	1.31215834094429	2.4209279463009	0	0	1.36820189628078	0	0.149594395586367	0	0.30772942961442	0	0	1.55123003606783	0	2.15758801994984	0	0	0.357586473475786	0	0	1.45069834835717	0.086584525365418	0	3.64872721392578	0	0.108127378341268	1.96931716600464	0.317380866952836	2.16078914065584	1.37040653388092	0	0	0	0	0	0	0.270763208514051	0	0	0	0	0	0	2.27436668992241	3.85297717619699	0	2.22438223074188	4.4079858822805	0	0	1.68346613798665	3.29668335479709	0.354005591949188	0	1.40553371290734	0	0	0	0	0	4.92964272104542	3.57473601692877	4.1945472633025	0	0	0	0.0324420006390361	0
TP73	0	0.00673185448750849	0	0	0	0	0	0	0.683008993684586	0	0	0	1.35763619317901	0.0408023105769772	0	0	0	0	0	0	2.85822804269575	0	0.371476576876431	0	0	0	0	0	0	0.572385445300109	0	0	0	0	0	0	3.22863404931512	0.745744879302757	0	0	1.81797346628671	2.6616559589758	2.47319236103697	0	2.36801622348513	0.118615996344702	0.485222524451459	0	0.630990389574216	0.583576005327271	1.77343413571592	0	1.35032986208017	1.7019320502664	3.44918816057647	1.32144725442739	0	0	0	1.88697931839411	4.01924454809607	1.2970572337026	0.783926699949986	0.613058877927007	2.62542116194276	4.32152768365039	0.576939517669516	3.62376237130912	5.15167402143471	3.62376237130912	0.512663799933167	4.69161608171419	0.712626533177697	0	0.79962728724554	3.96389687863732	2.64839414745026	0.651815352790266	2.5074134789557	0	0	0	0	0.391914720985622	4.23992351081355	1.9567440006318	3.23275153228944	0	0	0	1.46246632119421	0.373985146400961
AJAP1	0	0	0	0	0	5.78282905070466	1.20586273768976	0	3.25898791332293	0.67353503116682	0.401541879895058	0	0	0	4.29902825581428	0	6.03392639043841	0	5.60413866863811	6.57400718103233	0	0	0	1.88482337554547	2.44461046602311	0	0	0	0.936561460713373	0	2.93946166613326	0	4.29902825581428	0	1.32626611139477	0	0	0	0	0	0	1.0141912091021	0	0	0	0	3.65401433988466	1.9294357908449	0	3.19534931505376	0	0	2.6552006133348	0	1.25101096223559	1.91265946509352	0.581358530107667	1.77155463123127	0	1.22613673601889	0	0	0	0	1.52073889861491	1.84831030720876	0	0	0	0	5.29398017077429	0	0	0.65808603377436	1.72814301584344	0	0	0	0	0	0	0.998428603536066	0	3.90835667360271	1.27543536137295	0	6.03392639043841	1.28723282145284	1.33536984682767	2.08221754857143	1.00172696542703	2.09014958580374
CHD5	0	0	0	0	0	2.33081696685929	0	0	3.32105297847339	1.57294834223055	0	0.772203648655041	0	0	0	0	1.33368702295977	2.70344998809325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26919972722083	0	0	0	1.54905751266029	0	0.46935930435574	0	0	4.60169035102037	0	0	1.37657603948005	1.63409390612913	0	0	1.99385635116382	0	0	1.31971204018815	3.25505413455017	0	2.22114984511045	0	2.63422962623538	0	1.56376501035845	0	0	2.31689016840574	1.29944598003303	0	5.20766533311972	6.77455865506003	5.5591623965463	4.00494535960283	6.03392639043841	2.80607860061767	5.5591623965463	4.78078152270561	0.222103498351194	3.64872721392578	1.70669808582108	6.19764632860285	0	5.5591623965463	0.0527371559623305	4.98923105743762	0	2.89234143255569	2.1715914267666	3.63962370609685	2.15338074577275	1.93529619604968	5.41335617044046	3.14721294704226	5.34527768554312	5.64958516296818	5.43319432287239	0.374860785015553
