Regulator	Target	MI	pvalue
hsa-miR-424-5p	PLVAP	0.33838759077041536	0.0
hsa-miR-542-3p	MAB21L1	0.3169593234175216	0.03880884900388626
hsa-miR-424-5p	MMP9	0.3331881897114048	7.136647333094714E-7
hsa-miR-424-5p	ACTA2	0.3095249901231985	0.0029899437637126436
hsa-miR-542-3p	LHX1	0.32280436469807405	0.0
hsa-miR-542-5p	P4HA2	0.36881679085896657	0.03880884900388626
hsa-miR-424-5p	AANAT	0.30786252554343313	0.03880884900388626
hsa-miR-424-5p	P2RX3	0.29327008278149297	3.6836957484354116E-8
hsa-miR-424-5p	MFAP4	0.3225267048684421	1.2683771449584214E-5
hsa-miR-542-3p	SH3GL2	0.30548075221231247	0.03880884900388626
hsa-miR-542-3p	MYH15	0.3368410397114398	7.775446952962284E-11
hsa-miR-424-5p	CAMK2N1	0.30259671280308126	1.2683771449584214E-5
hsa-miR-424-5p	CCIN	0.3047131456884899	0.0029899437637126436
hsa-miR-424-5p	HPCAL4	0.3311685439317503	2.0513703862179433E-4
hsa-miR-424-5p	SLCO5A1	0.3422760744185657	0.03880884900388626
hsa-miR-542-3p	RPGRIP1	0.31427716021341606	0.0029899437637126436
hsa-miR-424-5p	CACNA2D4	0.32429009074869963	0.0029899437637126436
hsa-miR-542-3p	NEUROD1	0.3039348811102734	0.03880884900388626
hsa-miR-542-5p	CACNA2D4	0.3240432081573341	0.03880884900388626
hsa-miR-424-5p	KIAA1549L	0.3299584354714494	0.0
hsa-miR-424-5p	ZFPM2	0.3432774111827615	0.0029899437637126436
hsa-miR-542-5p	RPGRIP1	0.3530676525476627	2.0513703862179433E-4
hsa-miR-424-5p	GPR12	0.30763361039757386	7.136647333094714E-7
hsa-miR-424-5p	NPTXR	0.31002489085092905	0.03880884900388626
hsa-miR-424-5p	PTPN5	0.34487242844688987	0.03880884900388626
hsa-miR-542-3p	LAPTM4B	0.31673373337866895	0.0029899437637126436
hsa-miR-542-3p	CRYZ	0.31395232621237235	1.2683771449584214E-5
hsa-miR-542-5p	TNC	0.34557217024123255	1.2683771449584214E-5
hsa-miR-424-5p	NEXMIF	0.3144586178523635	0.0
hsa-miR-424-5p	NDNF	0.30882835025772976	0.03880884900388626
hsa-miR-424-5p	CUX2	0.3129611597562998	0.03880884900388626
hsa-miR-424-5p	MAPT	0.3355585728943993	3.1101787811849135E-12
hsa-miR-542-5p	GIPR	0.3392636794603489	0.03880884900388626
hsa-miR-424-5p	STC2	0.3288870008196125	0.03880884900388626
hsa-miR-542-3p	P4HA2	0.32446697872976	3.6836957484354116E-8
hsa-miR-542-3p	SIPA1L2	0.31567184641003665	2.0513703862179433E-4
hsa-miR-424-5p	ALCAM	0.3201766800152412	0.0
hsa-miR-450b-5p	NPTXR	0.29136127936032025	0.03880884900388626
hsa-miR-424-5p	PHACTR3	0.31517204949560346	0.03880884900388626
hsa-miR-424-5p	ADAMTS9	0.31447862784797387	0.03880884900388626
hsa-miR-424-5p	EPPK1	0.3906288983364831	0.03880884900388626
hsa-miR-542-3p	VIM	0.3188043408199608	7.136647333094714E-7
hsa-miR-424-5p	SLC8A3	0.31661361763812806	7.775446952962284E-11
hsa-miR-542-3p	DTX1	0.3036960639320051	0.0029899437637126436
hsa-miR-424-5p	PLPPR3	0.31215582930946806	2.0513703862179433E-4
hsa-miR-542-3p	MAPT	0.3138470811656179	7.775446952962284E-11
hsa-miR-424-5p	ADGRV1	0.3002079180004502	0.03880884900388626
hsa-miR-424-5p	GIPR	0.32996829414552253	3.1101787811849135E-12
hsa-miR-424-5p	NOL4	0.31895158123881373	0.03880884900388626
hsa-miR-424-5p	VIM	0.3334587131461819	0.03880884900388626
hsa-miR-450b-5p	ALCAM	0.3126232958670553	2.0513703862179433E-4
hsa-miR-450b-5p	NOD2	0.30811554517362244	0.03880884900388626
hsa-miR-542-3p	SYK	0.3584190285172948	2.0513703862179433E-4
hsa-miR-424-5p	CABP2	0.32567131354427814	3.6836957484354116E-8
hsa-miR-424-5p	LHX1	0.3233615735343568	7.136647333094714E-7
hsa-miR-424-5p	KCNH1	0.3127763982988929	0.0029899437637126436
hsa-miR-424-5p	NSG1	0.33474754269788215	0.03880884900388626
hsa-miR-424-5p	YPEL4	0.29723114879863033	0.03880884900388626
hsa-miR-424-5p	KCNK2	0.3129793264261995	2.0513703862179433E-4
hsa-miR-542-3p	CEMIP2	0.3188540507816929	0.0029899437637126436
