Regulator	Target	MI	pvalue
hsa-miR-200a-3p	hsa-miR-429	0.4849898562718491	0.0
hsa-miR-200a-3p	hsa-miR-200b-3p	0.5362602760367245	0.0
hsa-miR-200a-3p	SMOC1	0.3299275845207658	0.006583117368990088
hsa-miR-429	TOP1MT	0.3069342296621466	4.430818242440182E-4
hsa-miR-429	hsa-miR-200a-3p	0.4818598233027215	0.0
hsa-miR-200b-3p	NRCAM	0.33745155788844866	4.430818242440182E-4
hsa-miR-200b-3p	hsa-miR-200b-5p	0.39302695392462633	0.0
hsa-miR-429	SHOX2	0.31836433308300255	7.04264380146924E-8
hsa-miR-429	TNC	0.32169533509083187	7.04264380146924E-8
hsa-miR-429	RGR	0.31886104676681154	0.0
hsa-miR-200b-3p	hsa-miR-200a-3p	0.5371802450164481	0.0
hsa-miR-200b-5p	hsa-miR-200a-3p	0.3419097799986345	3.1735680749989115E-9
hsa-miR-200b-3p	CRYZ	0.33777539944376717	1.4335583387037332E-6
hsa-miR-429	hsa-miR-200b-3p	0.503722737436536	0.0
hsa-miR-429	CRYZ	0.29319616398246917	3.1735680749989115E-9
hsa-miR-429	DMKN	0.332023122883008	0.006583117368990088
hsa-miR-429	hsa-miR-200b-5p	0.3677964466927738	1.4335583387037332E-6
hsa-miR-200a-3p	hsa-miR-200b-5p	0.3399052161297762	2.655076670521339E-5
hsa-miR-429	TOGARAM2	0.2994434409046781	4.430818242440182E-4
hsa-miR-200a-3p	NRCAM	0.32720172873091424	0.0
hsa-miR-200a-3p	EBF1	0.325495151479669	4.430818242440182E-4
hsa-miR-200b-3p	hsa-miR-429	0.48459844238129957	0.0
hsa-miR-200a-3p	NEUROD2	0.3232738104467068	2.655076670521339E-5
hsa-miR-429	TMEM45A	0.3157616739383052	0.006583117368990088
hsa-miR-200b-5p	hsa-miR-200b-3p	0.4083804840000495	0.0
hsa-miR-429	NRCAM	0.34077373681167933	7.04264380146924E-8
hsa-miR-200b-3p	IQCA1	0.3290606436722279	4.430818242440182E-4
hsa-miR-200b-3p	TMEM45A	0.3243076301751308	1.3216094885137863E-10
hsa-miR-200b-5p	hsa-miR-429	0.37153384687527563	3.1735680749989115E-9
