gene	MB064	MB350	MB215	MB224	MB178	MB055	MB329	MB296	MB161	MB279	MB234	MB157	MB328	MB028	MB317	MB372	MB137	MB309	MB285	MB269	MB158	MB334	MB228	MB264	MB299	MB327	MB199	MB311	MB151	MB025	MB229	MB181	MB305	MB056	MB225	MB262	MB166	MB062	MB102	MB242	MB118	MB223	MB155	MB209	MB321	MB232	MB024	MB020	MB276	MB057	MB243	MB071	MB271	MB048	MB153	MB038	MB159	MB103	MB063	MB240	MB067	MB197	MB332	MB114	MB170	MB316	MB206	MB359	MB192	MB172	MB227	MB162	MB263	MB268	MB331	MB207	MB164	MB188	MB346	MB320	MB027	MB254	MB238	MB282	MB239	MB167	MB236	MB322	MB255	MB272	MB244	MB212
SAMD11	0	0	0	0	1.96011468231406	0	0	1.54210764346446	0	1.49717363138814	0	0.836206239956282	0	0	0.677553160990865	0	0.324496484941416	0	0	1.53382282470643	4.15914458039968	0	2.23026147264969	1.36103659467693	0	0.905055610740976	4.10294534825458	0	0.0369612342399107	0.083445379192874	0.810984302484915	0	1.87763747669377	0	0	1.26159998779147	4.43372998446941	4.27535393132514	0	7.09066785730813	1.30742574170699	1.95049297820858	5.73306366453679	3.43470203868648	4.37080610028477	3.98298459139158	5.48854747421628	6.61018890991097	0.412233294483604	2.11675721674255	0	3.66443414229155	4.54338606950233	4.20080914647401	4.52655233245808	3.4675293536481	4.47086187994401	2.22263791870865	1.04428573502242	4.60933441753951	2.64099224116752	0	0	0	2.9904285056388	0	0	0	1.68249792782455	0	0	0	0	0	0	0	3.05182638389591	0	5.54004196705513	0	1.2949623314286	2.88666193933811	0	0	0	0	0	0	0	0	0	0
MXRA8	2.12973582526456	2.51127153180353	1.55743387689773	0.914428558653924	2.54741822943944	0	0	1.10683863441194	0	2.86665530993978	0	1.46879966019734	1.93395904468777	3.27698987586727	3.85238288266666	0	0.632394831640669	1.28045426997829	0	0	2.86937940016353	1.23439533243011	3.4135718348586	0	2.21347203937251	0	0.674495835411207	0	0.282663462290321	4.49892044319501	1.40898898333157	1.50169156512536	4.20080914647401	0.473136737289426	2.33408634273877	0.732039861382448	0	0.0298094132783577	0	0.185710705474124	0	0	0	0	0	0	0.255442762331844	0.716074958865361	0	0	0	0	0.0215981595177272	3.18791633692001	0	0.704614858178756	0	0	0	0.581524247801734	0	0	0	0	0	0	3.52187239746784	0	0	3.99707855128519	1.72731441134441	0	0.202865702239311	2.11415113538673	0	0	0	0	0.0887588213988092	1.98921961702929	3.15044652161918	0	3.37712101980539	3.84071183864306	0	0	0	0.968666234798419	3.09102892959694	1.95687175315957	3.47718216777512	2.37010483299927
ANKRD65	3.56049286583321	4.17230299648846	4.2674981678321	3.50685873008784	3.0149141066415	2.92708552225039	2.60830149955588	2.68048439402816	1.62013866460181	3.62854410470518	2.89235907754093	2.42792047820082	3.44416504278148	4.2674981678321	4.06680376193352	1.48759270774938	0.433262006679094	1.2924657711615	5.32499509070829	1.72821848148685	3.47718216777512	2.62146358857615	0.196759464221545	0	2.11796289766305	2.53413087086573	6.61018890991097	1.12690891016472	0.57380459691256	1.3626989762112	0.597898051557986	2.49372974573154	2.77162461255217	2.77964455038488	2.18421893640127	2.32365160541626	0	2.30893838813386	0	6.03315860863021	0	0.850419131567251	0.70280010473368	0	0	0	0	0	2.71386895156316	0.860927567687866	0.27834416900451	0	0	0.371815372034242	0	0	0	0	0	0	0	0	0	0.988006983724331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0.200398219557617	0.0373816489836951	0	0	1.43992127098231	0.0983801738695916	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340229936952232	0	0	0	0	0	0	0	0	0	1.14329311784467	0	0	0	0	0.0391454978182702	4.81369442549672	0.595965055794537	0	0	0	0	0	5.02803706936364	5.30949610415104	2.57649389044433	3.51252399941257	3.66443414229155	1.32379005990769	3.9074105474021	0	3.94460487307618	5.73306366453679	2.34512540238285	5.43202433550074	0.0503152708275253	4.03904338261515	0	0	3.95125495495681	2.85799395707183	0	2.1887410751894	0	0.0257952427338425	0	0	3.09753866834964	0	0	0	0.149373034892353	0	1.21426271003658	0	0.371815372034242	0	0	1.69760698339435	0	0.644109749643411	0	4.23950502618918	1.12899295682955	2.87775380625709	0	0	1.26591687592314	0	0	0	0
GABRD	2.07090375104428	4.31383625327566	2.45185084775462	1.18699151196364	4.10294534825458	1.60579595322844	1.59064139341097	1.39495345642002	0.80155619280176	3.49909174821249	1.93395904468777	4.63633109550776	0	4.22042296423249	0	0	2.49993542367731	0	2.94431629599194	0	0.0543136499433884	1.72297343597945	0	0	0	0	0.0859681509651369	0	0	0.187031634002175	1.96446080285855	0.191258019238027	0	2.47156069748824	2.9159679150522	5.60296377173533	0.55203589808453	0	0	0	0	0	2.11796289766305	0	1.3990209135152	0	2.7309863919457	0.239545850459309	0.0610330283218357	0.747877223524959	0	0.0286834707765356	2.39660050211696	0	3.95822793995908	0	0.263443281947831	0	0	0	0	0	0	0	0	0	0	3.04871659095176	1.43801621275589	0.757020866480392	0	0.213801232378371	0	0	0	1.72043348274055	0	0	1.55141269858373	0	0	0	4.07423007713828	0.744975556442387	4.15914458039968	0	0	5.52406220285107	0	1.29196611410919	0.902234867203732	0
PLCH2	0	0.115835123159099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552657802821014	2.42472573611585	0	2.99317923853673	1.47328670908101	4.05393777675339	1.15964992473352	1.84091017203327	0	1.31068454744371	0.770322036825736	0	2.72593616237423	1.95358083219072	3.66443414229155	0.0959456982683559	2.50153936859966	1.63586473242108	0.724026912461761	2.84776829254764	0	3.29625931349711	3.09102892959694	0.20384897419769	0.0131074989325227	2.60830149955588	1.35434551447637	1.67504983420625	0.818546138665996	0.88637326418672	0	0	0.512644285932081	3.1678904510056	1.03380176545325	0.44142698086614	1.7221343116973	2.03858356345301	1.43216549513429	0.383810612275899	0.967975169617194	1.13874943939759	0	0	3.4227122251589	0	2.47156069748824	1.11239170529875	0	0	0	0	0	2.28067645806014	0	0	0	0	0	3.83432360615251	0	2.45964229905545	0	0	2.46381488710044	0	2.59139628796007	0	3.12431705779833	2.45185084775462	0	1.5141856589402	0	0	0.674495835411207
MEGF6	1.6733368684577	4.27535393132514	1.76376749613005	1.73329701737405	2.69010086365744	1.17547562944891	1.14946377682012	2.9159679150522	3.8103164785356	3.30766322670972	2.58046857807188	3.4011833572286	3.88173376921498	2.90146048480343	0	0.502890269480552	0	0	1.89323876985689	0	3.30047281105444	0	0	0	0	1.31224729238126	2.42093696216236	0	0	1.36835341577388	0	0.149252956957624	0	0.30734494446969	0	0	1.55141269858373	0	2.15760838006708	0	0	0.356864928533571	0	0	1.45240801505771	0.0862836288450902	0	3.65358447935128	0	0.108405451720807	1.97186002817773	0.317665688893741	2.16082326830592	1.37052067836048	0	0	0	0	0	0	0.27091516326344	0	0	0	0	0	0	2.27609492072715	3.85238288266666	0	2.22439789609749	4.40777984786176	0	0	1.68346704692606	3.29625931349711	0.354165871358641	0	1.40566780848843	0	0	0	0	0	4.92813318467291	3.57427462966929	4.19408809566343	0	0	0	0.0321860253219352	0
TP73	0	0.00662157946265856	0	0	0	0	0	0	0.683188835001916	0	0	0	1.35609616597423	0.0411680165292237	0	0	0	0	0	0	2.85799395707183	0	0.370789479545844	0	0	0	0	0	0	0.572195529971647	0	0	0	0	0	0	3.22827680795034	0.745950189208872	0	0	1.82015120458571	2.66163242261739	2.47717734354682	0	2.37010483299927	0.118280336371746	0.485706944455524	0	0.631124136755794	0.583936808059056	1.77562698279505	0	1.35039972654353	1.70212248329675	3.44878644453677	1.32168407981113	0	0	0	1.88482992425583	4.01838251810237	1.29816624923373	0.784107700091081	0.613448397976261	2.6255900127479	4.31999691209444	0.576566116919869	3.62854410470518	5.15091187161653	3.62300315926867	0.512814775887909	4.69074731662246	0.71278803916686	0	0.799353410074587	3.96354476361185	2.64810420494835	0.651824943946628	2.50715352569092	0	0	0	0	0.392055624094446	4.23950502618918	1.95687175315957	3.23200846917154	0	0	0	1.46122858820986	0.374117788445719
AJAP1	0	0	0	0	0	5.78267089188954	1.20416883241898	0	3.25884742614699	0.673323929974175	0.401264786988454	0	0	0	4.29900956770401	0	6.03315860863021	0	5.60296377173533	6.57213409181758	0	0	0	1.88301586751128	2.4386149518294	0	0	0	0.936864755206588	0	2.93895820648751	0	4.29900956770401	0	1.32658343672419	0	0	0	0	0	0	1.01318226302667	0	0	0	0	3.6579624212466	1.93184581584031	0	3.19515808123342	0	0	2.65525834624555	0	1.25119660842696	1.91266539438516	0.581524247801734	1.77257788878944	0	1.22497586768362	0	0	0	0	1.52017352200941	1.84853258208312	0	0	0	0	5.29345761849112	0	0	0.657717424375207	1.72821848148685	0	0	0	0	0	0	0.998610698144591	0	3.9074105474021	1.27679821967736	0	6.03315860863021	1.28839776436089	1.33556286226257	2.08217170971292	1.00123226948618	2.09015033126032
CHD5	0	0	0	0	0	2.33081143326282	0	0	3.32101667552205	1.57312191803492	0	0.77214736797315	0	0	0	0	1.33232458680175	2.70351567288918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26946595603556	0	0	0	1.54924564972197	0	0.469522524871529	0	0	4.6015548768998	0	0	1.37794109857913	1.63410872044984	0	0	1.99379837212825	0	0	1.32027942756932	3.25469715051116	0	2.22124572943565	0	2.63428572640391	0	1.56407954620429	0	0	2.31884908697875	1.29959344555091	0	5.20723451494912	6.77301430269184	5.55844641373756	4.01048288182447	6.03315860863021	2.80618824546958	5.55844641373756	4.7807899892228	0.222249030721129	3.64887613199368	1.7067266225067	6.19687537972115	0	5.55844641373756	0.0527103360972948	4.98782176423307	0	2.89235907754093	2.17173680332231	3.63954434885864	2.15460908847869	1.93532197144242	5.41289302893441	3.15350284814337	5.34407739411487	5.64803475626187	5.43202433550074	0.374983598403108
